,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Mean_Importance,Std_Importance
KMID,0.09447390627536305,0.09817778026825055,0.09575015079795789,0.08649849382203557,0.09883289563101881,0.09474664535892517,0.004417771872823254
KSFT2,0.08797092112670346,0.08561897236663973,0.0874637193128097,0.08296103356282726,0.08039246810197903,0.08488142289419184,0.0028494155069823173
KMID2,0.0857404838580663,0.07423636053568856,0.09111065230964126,0.08094247159864748,0.0906339794531218,0.08453278955103308,0.0063381094294580435
KSFT,0.07897985914334409,0.08139211962230468,0.08727936392998165,0.07718492316767349,0.0837793905905499,0.08172313129077076,0.0035589427423608337
RESI5,0.034862081647341114,0.03203266707933187,0.03559454323784593,0.03524216079823388,0.038987706140438345,0.03534383178063823,0.002215712456234157
RESI10,0.03414461134786895,0.03144398506360764,0.034755593658390004,0.027595671510032324,0.03150765783602946,0.03188950388318567,0.0025330325757031936
RSV5,0.02978702782916126,0.029228928775774703,0.02940042056455449,0.02887535252697963,0.02730342691522222,0.028919031322338463,0.0008594504531945509
QTLD5,0.027000028753617834,0.027402095346308598,0.02581710196577105,0.02643557513729099,0.024717202164815363,0.026274400673560766,0.0009442666887119255
QTLU5,0.029972117129143914,0.02273345544645519,0.02077930804169964,0.018979674450609343,0.02308070966831055,0.023109052947243726,0.0037342470427735664
MIN5,0.018002584552564843,0.022415962913363577,0.02568721619272562,0.023047952428878263,0.024000786679335234,0.022630900553373506,0.0025635558408096874
MA5,0.019092435356814867,0.017546900318754995,0.017988739710998396,0.018190917552015216,0.018082571635640775,0.01818031291484485,0.0005058744853128287
MAX5,0.024692007318397168,0.01669769632536974,0.014976062102619389,0.01797102295685968,0.014571953788233696,0.017781748498295936,0.00366435066899186
RSV10,0.014200685465695008,0.014462683994644556,0.01456691639129353,0.0165225502564663,0.014416499779565859,0.01483386717753305,0.0008527373386571821
MAX10,0.012532625615145393,0.01054774133866565,0.010921755628868162,0.012227521547306566,0.011638088797362433,0.01157354658546964,0.0007521687827166813
RESI20,0.008264996370696309,0.008171721227439841,0.008721082565226267,0.010577818549944268,0.01051151976079148,0.009249427694819633,0.001073983564555837
QTLD10,0.0072466587718602316,0.009142169132145942,0.00998055436977343,0.011274805156581531,0.008600664756017834,0.009248970437275792,0.001347603809791386
RSV20,0.007568628205621012,0.009468330827156955,0.008749816379336174,0.008368180623113439,0.007983444873183374,0.00842768018168219,0.0006520093557806575
MIN10,0.006022713805790307,0.009746097790588411,0.008720098860917316,0.008246446181415148,0.008825113382321736,0.008312094004206582,0.0012435107586439634
QTLU10,0.008236133420637583,0.007473080289949612,0.006901643776363055,0.008468467092635889,0.008280439721747712,0.00787195286026677,0.0005926073357006226
MA10,0.007613222096295198,0.006882427093591767,0.006803821936762905,0.008388383977602162,0.006308573764175884,0.007199285773685583,0.0007260105744522476
MAX20,0.007136871595620786,0.008583539832441056,0.00498253826476287,0.00867883647505819,0.006471326939969212,0.007170622621570423,0.001381948682635614
BETA20,0.005477574980392392,0.008015306671388854,0.006490971401514932,0.007046122566076122,0.008011548036424248,0.007008304731159309,0.0009625744199454571
BETA10,0.008623476590303096,0.006782390611887906,0.008220010573599673,0.004755100710093352,0.006384043236743236,0.006953004344525453,0.0013841523386252973
RSV30,0.006690629268010968,0.008355290348044692,0.005531122296991224,0.00671852669488438,0.006206067905015951,0.006700327302589443,0.0009328087316039386
WVMA20,0.007253795188787501,0.009415307271829878,0.005389024691104829,0.004227123736499155,0.005957609211861895,0.006448572020016652,0.0017747349043400744
KLEN,0.005712915972428937,0.00608112847448966,0.004996762132514538,0.007894912777756285,0.006928615345098546,0.006322866940457593,0.0010027253736961598
QTLU20,0.005376563978121304,0.006374280973626279,0.005073647005984789,0.00865025621053089,0.005958232361714699,0.006286596105995593,0.0012650537116914694
WVMA30,0.006003875343219882,0.007036713222676636,0.006174369056447076,0.004519248514934472,0.006337747702737277,0.006014390768003068,0.0008259366673557211
VMA10,0.007572550991362629,0.007656611137810536,0.004087445828958925,0.005544577635702605,0.004417127743750228,0.0058556626675169855,0.001515511024129223
VMA5,0.00473693389968916,0.006359304266078969,0.006748077389523316,0.0053498105690248186,0.005545253180774429,0.005747875861018138,0.0007205225004888993
KLOW,0.005629374314581374,0.005655641587204477,0.005164644363950429,0.0063246503414291,0.0059564348929579776,0.005746149100024672,0.000384411113128914
BETA5,0.005719786034886926,0.005348842530600544,0.005832504548930013,0.005583615295813879,0.005788124318229362,0.005654574545692145,0.00017450183168965782
WVMA10,0.005755107010103829,0.006653620590278767,0.003515480580755393,0.0042207818669399485,0.006683510164509303,0.005365700042517448,0.0012869460227084586
STD10,0.005268833145008883,0.0058885392133532725,0.005161004574440655,0.005082712451344715,0.00524815217564138,0.005329848311957781,0.0002870947487811819
RSQR20,0.005184618062623274,0.004823154075619607,0.005857385267817009,0.005605222317692224,0.00507833757972949,0.00530974346069632,0.0003723422029521571
FFD_VOLUME_D0_SLOPE5,0.00542475749793594,0.005750627266025827,0.004164404404982256,0.006140142421296673,0.004962326843639634,0.005288451686776066,0.0006822612919546102
CORR30,0.005366368572038709,0.005412068817581176,0.004727765774953104,0.0050644727173434125,0.005329051745410363,0.0051799455254653536,0.00025638562208187693
FFD_VOLUME_D0_MA10,0.004148170018344644,0.004094170775408156,0.006030069203090999,0.005695436501465165,0.00536237808183271,0.005066044916028335,0.0008000404504804821
CORR10,0.0063166126889069715,0.004079149584836828,0.006182449091152146,0.004833612294173473,0.0038992106574803754,0.00506220686330996,0.0010197738856142816
VMA30,0.0041558967700274715,0.0057770085874808775,0.004033959962660353,0.005502389806794836,0.00549966849980909,0.004993784725354525,0.0007418027960435976
STD50,0.004624972608365367,0.005497529147155968,0.0053532533869983055,0.004219555146166846,0.004893270980929105,0.004917716253923119,0.00046895648651363393
VSUMP30,0.0036402064926413834,0.0043341927188738395,0.00504268381231601,0.005069731979336235,0.0064907686950467745,0.004915516739642848,0.0009471775304302597
MAX30,0.005695989124590105,0.005676548188240044,0.00487785477809829,0.004398147122335428,0.003851839234076913,0.0049000756894681564,0.0007193905002672609
CORD5,0.0033294252939706373,0.0043838865750284095,0.0027313858700072705,0.01042808442498066,0.0036090948269416065,0.004896375398185717,0.0028164535538975385
VMA50,0.004861057599356176,0.004740689366636732,0.004627445178476776,0.0040588875288145275,0.005262067701648683,0.004710029474986579,0.000389692629413897
VSUMP20,0.00358965016389235,0.005451243000453935,0.0054218557425072065,0.0037858810319947606,0.005043119216744842,0.004658349831118619,0.0008078352702120979
RESI30,0.005385892781203373,0.0035984934496388755,0.003974121548595376,0.004908214271779654,0.005407163597079676,0.004654777129659391,0.0007407932383610311
KUP,0.003585295852074179,0.005764355399025247,0.0045385380946505105,0.0045402670858838675,0.00467957539891309,0.004621606366109379,0.0006923426404209145
ROC5,0.003763175590373351,0.005400146035436669,0.004689522708084146,0.005005135627551803,0.0038730360166389062,0.004546203195616974,0.0006366575397875412
MIN50,0.004653310287875668,0.004600988980426944,0.004468489642798162,0.005006267018902529,0.003804691711488913,0.004506749528298443,0.0003935042187795689
ROC10,0.004178544219165232,0.005971967571734268,0.003537800175721713,0.004058266105172899,0.004764668099771191,0.00450224923431306,0.000831986008862069
CORD20,0.004173841389488176,0.004547412627309162,0.0040249209150898056,0.00604247758817001,0.003646368123454701,0.004487004128702371,0.0008296273332847184
SUMP5,0.004424375418878713,0.004718605537471143,0.003875018473145564,0.004838873947886448,0.004088760491083639,0.004389126773693101,0.00036512970075947866
MAX50,0.004465592393460107,0.004165088864061322,0.004546937981958114,0.004671580917962723,0.004069950122789968,0.004383830056046446,0.0002291105215481278
QTLU30,0.00388216497174616,0.005055864591719572,0.004041466968559952,0.004658139238550899,0.0042493275592153466,0.0043773926659583864,0.0004274669594064607
VMA20,0.0048216465176026116,0.0042697910037949646,0.003370638772791176,0.004168572853231781,0.004874793281706383,0.004301088485825383,0.0005448659378256648
SUMD5,0.0035638744822052144,0.0036103629297094216,0.004481337935391158,0.004705632674580871,0.005131458187860054,0.0042985332419493445,0.0006174485146845526
MA30,0.00325759895942271,0.005105399129247925,0.0037536123224671597,0.00518321820912543,0.00395568149647122,0.004251102023346889,0.0007642619651858717
STD30,0.004285337418365028,0.00423581978853643,0.004450297174177894,0.0032389028849332826,0.00503061832993998,0.004248195119190523,0.0005784867906319635
ROC20,0.003083934897542592,0.005220417186585009,0.003510957980979929,0.005261838798919978,0.004063127143643062,0.004228055201534115,0.0008836211624457754
FFD_VOLUME_D0_SLOPE30,0.003706797211197855,0.004457681388880868,0.005033498862786877,0.0039032746511453503,0.0037682012426298868,0.004173890671328168,0.0005050656705074345
FFD_VOLUME_D0_STD20,0.003758624476248954,0.0037607910240228023,0.003579935473366014,0.005637015475085342,0.004007272624047148,0.004148727814554052,0.0007564667906537184
IMAX5,0.006238305140138083,0.0018651612047313828,0.004299688753886569,0.004776929978300036,0.003527279007613237,0.004141472816933862,0.0014411365285445388
SUMD10,0.0029609916174333836,0.0036312951311572358,0.005729933320476905,0.004406739258613736,0.003719475846815807,0.004089687034899413,0.0009393681702634408
SUMN5,0.003960772073346035,0.003273265828132954,0.00397545746665879,0.004433922083682055,0.004596185816603926,0.004047920653684752,0.0004609832274845693
RESI50,0.0035087319854397634,0.00392303216092874,0.003335060579524731,0.005293650553913804,0.004005456024424783,0.004013186260846364,0.0006873288703017962
IMIN5,0.0019288671195419656,0.004546216173262388,0.005049771941314799,0.003957742895728372,0.004181180993598546,0.003932755824689214,0.0010678921261022842
FFD_VOLUME_D0_MA20,0.0032301951005682143,0.003456315433027498,0.0031565052301421458,0.00516023301154307,0.004345250269017573,0.0038696998088597,0.0007720263737212385
CORR5,0.003198546816091868,0.003908213475550741,0.0027085509921659576,0.005000546391867527,0.004131007722246867,0.003789373079584592,0.0007893073063707868
SUMN10,0.0027238355228903707,0.003586358212923418,0.005388525737927363,0.0036124224244527044,0.0032777690516679714,0.0037177821899723657,0.0008945723541280337
VSUMN30,0.003566496918673864,0.002726367841019288,0.003624163765057571,0.0038610503310696574,0.004543008691817355,0.0036642175095275473,0.0005833922726177401
FFD_VOLUME_D0,0.0032949164744777207,0.003806672718740854,0.0033796646116179036,0.003573689548690086,0.0038144296193657183,0.0035738745945784562,0.00021335269909592737
RSQR30,0.0034473839181704347,0.0039348419128914505,0.0026516179121051373,0.004162422798172468,0.0033281740531016157,0.003504888118888221,0.0005253221410467827
CORD30,0.003330725569498635,0.002868267727512146,0.004554873847341713,0.004017360572849586,0.002649997564242436,0.003484245056288903,0.0007112556984103652
ROC50,0.004682998498253122,0.003290742833630565,0.0029301162976489966,0.0031342615877882367,0.0033265100700615737,0.0034729258574764986,0.0006210055939750786
FFD_VOLUME_D0_MA5,0.00271746180310686,0.0035120491620105015,0.003529431529535975,0.003978906972872251,0.003610513863438095,0.0034696726661927364,0.00041239396058408503
CORR20,0.003641820300976143,0.003484202367129856,0.002547353951914515,0.004229818875731683,0.0032160534923975333,0.0034238497976299457,0.0005499389056713574
SUMD30,0.002678849905495528,0.0037469546794865025,0.0036943023492516346,0.003928646180083819,0.003040980713354509,0.0034179467655343987,0.00047619325512471077
VSUMD10,0.003934356689041525,0.0032736395946318456,0.003299222166840279,0.003542940902173402,0.0029929162878486065,0.0034086151281071315,0.0003154166586837757
BETA30,0.0031729030798494156,0.0028096905130451186,0.004017566611422882,0.003942351535295818,0.00280430134788148,0.0033493626174989433,0.0005324674958184617
RSV50,0.003548730933206219,0.0038563346892844593,0.0023897374480855178,0.003000376305347839,0.0036204759787158993,0.0032831310709279865,0.0005274485158844377
VSUMP50,0.003144885776123641,0.003464781788299204,0.0034598236154812696,0.0029754643526221326,0.0032975876126136194,0.003268508629027973,0.00018821674849637477
FFD_VOLUME_D0_MA30,0.002570301373448185,0.003016922686185529,0.003156055491955015,0.00434212275967701,0.003106669117851885,0.0032384142858235244,0.0005895329588513602
QTLD30,0.003186526155963008,0.0031568521242019702,0.0028326907806560764,0.0036633348409508904,0.003335530771476626,0.003234986934649714,0.0002697727499764116
SUMP30,0.0034791837422356755,0.0032853802613145755,0.0031671464472024674,0.003770517374084482,0.0024636771066608516,0.00323318098629961,0.00043553858497515335
FFD_VOLUME_D0_STD50,0.0036795132407395083,0.002553553184534958,0.0030619811159291617,0.003353405080768622,0.0029514773152246737,0.0031199859874393846,0.0003795157646930813
QTLD50,0.003637779983292526,0.0032791766974468346,0.002929465701848484,0.0029101104080416023,0.0025577947973438623,0.0030628655175946617,0.0003670267663776151
CORR50,0.0033208938361311935,0.0030880987887773846,0.0021073963136215455,0.003713176908206894,0.002958369258283102,0.003037587021004024,0.0005311809657551936
FFD_VOLUME_D0_SLOPE50,0.0031472129099680145,0.00266118443891673,0.0028721977056628584,0.002593524704968963,0.0038018367684460523,0.0030151913055925235,0.00043813503434576173
SUMP20,0.002745327759604643,0.0031786122618957546,0.0026849705014466837,0.003004357706672318,0.003327391995633076,0.0029881320450504947,0.0002459691613698329
VSUMN5,0.0027673073719637342,0.003056207188456566,0.0020186641222685845,0.0030213253584494477,0.003368057996857164,0.002846312407599099,0.0004556637558053267
VSTD50,0.002302127404510669,0.0022316880075760894,0.0029757605176435028,0.003233854860339011,0.0030669319869202722,0.002762072555397909,0.000413288681636745
VSUMD5,0.003143887454080746,0.002578289107664323,0.002697875217932226,0.0024477378040594104,0.0027722773315384695,0.002728013383055035,0.0002352830669242554
MA50,0.0025400406235873856,0.002340663701559559,0.002524599719564892,0.0038776989775490245,0.0021748612977852038,0.0026915728640092133,0.0006079252077410061
SUMD20,0.002918624105761167,0.0028011205624133787,0.002039548193527095,0.002803911122683612,0.002666945208867571,0.0026460298386505646,0.0003135425666443867
SUMP50,0.002395956175479955,0.0019755293737263777,0.002379423674174345,0.0027427187114120424,0.0035031505421504704,0.002599355695388638,0.0005130884558533203
IMIN10,0.002612594587562539,0.0025578094904127034,0.0029397007723332043,0.0018893964281521192,0.0024521571603255596,0.0024903316877572254,0.000341764399981612
SUMD50,0.0022502171698400913,0.002140457797903043,0.00209406450369464,0.0025993900425090007,0.002543735406404815,0.0023255729840703176,0.00020790042394606582
FFD_CLOSE_D20_MA5,0.003296659742478001,0.002946298928677334,0.003012743257312504,0.0011161495610494479,0.0011530370542102454,0.0023049777087455064,0.0009629057971812792
IMXD30,0.0015019241882613282,0.0018842489213630263,0.002243594248522474,0.0028439809794375674,0.0023384109265076835,0.002162431852818416,0.00045071527578728794
IMXD20,0.002034867264682747,0.0021394793406134286,0.0016467891547238876,0.0025578788487188816,0.002178666702265619,0.002111536262200913,0.0002920195285396858
IMXD10,0.00200722621261038,0.0023776859281403593,0.0019949911519849144,0.002023102145557535,0.002101386158725459,0.002100878319403729,0.0001432861840543145
IMXD50,0.0014768183533729147,0.0014261719173446709,0.0021990392550841013,0.0017696064996191789,0.0033053901972777237,0.002035405244539718,0.0006918773597015109
IMXD5,0.0015800278355061494,0.001744553566940656,0.0022786724797088783,0.002548118441937863,0.0018924667053833199,0.0020087678058953733,0.0003552184437221413
IMIN50,0.0017456387721342236,0.0014235629116843057,0.00270479591502816,0.002012102037490253,0.0020099688648318073,0.00197921370023375,0.0004223273893924547
IMAX50,0.0017547644209805733,0.001495436496306831,0.0011587775024842972,0.002612694063716953,0.0014418398279767884,0.0016927024622930887,0.0004974249729850721
IMIN20,0.001249830056960835,0.001668765025548304,0.00227164294084987,0.002158252238880273,0.0010993475812167495,0.001689567568691206,0.0004691776886388056
IMAX10,0.0021776891108042187,0.0017000182935706313,0.001360353039642063,0.0016963874362805533,0.0012098741760138072,0.0016288644112622546,0.0003342101011715263
CNTN50,0.001286123221097131,0.0015891525710905637,0.0016588626273952383,0.0015032278744670784,0.0016188738627938546,0.001531248031368773,0.00013280663309927804
FFD_CLOSE_D20_SLOPE5,0.002489568856013562,0.0018407140744422907,0.0013213340794995994,0.0007624694755484022,0.0007530936337485967,0.0014334360238504901,0.0006643674724584089
CNTD5,0.0018013128150611629,0.0014183824655698396,0.0015763880382720153,0.0007221810545094562,0.0014803741134198148,0.001399727697366458,0.0003628776049437342
FFD_CLOSE_D20_STD30,0.002259861897340989,0.0016817972975240725,0.0009691758130861346,0.0009332668775468827,0.00024078061459629517,0.0012169765000188749,0.0006926071126958752
FFD_CLOSE_D20_STD5,0.00194489233216289,0.0013567419528211658,0.0009422010080540023,0.0005985000812290745,0.0012336113556781704,0.0012151893459890605,0.00044892565996871057
FFD_CLOSE_D20,0.0016570462002530306,0.0013527187033410446,0.001092564356540023,0.0007245172716624108,0.0012119618752981327,0.0012077616814189283,0.00030649056818027
CNTD10,0.0009579848283099512,0.0011712043510622935,0.0017963922979127734,0.0006440666117956369,0.0014565364003954607,0.0012052368978952232,0.00039744686112384983
FFD_CLOSE_D20_STD20,0.0015043013774240913,0.001517995353046364,0.0011990742703713536,0.0012287280130312403,0.00039990901206505614,0.001170001605187621,0.0004074782445941052
CNTP10,0.0006402631840347501,0.0008664432651015751,0.0017882645183569163,0.0008627291361673578,0.0012364091136252621,0.0010788218434571724,0.0004030575822709486
CNTN30,0.0008803039527295695,0.000934811928803356,0.0013229713809876776,0.0013872866367173515,0.0007162006972887194,0.0010483149193053348,0.00026143774301253187
CNTP30,0.0007706964142101577,0.0011358358472563644,0.0010140882249185304,0.001302731689665692,0.0009754648291078163,0.0010397634010317122,0.0001763931972428635
CNTN5,0.0012710615084980822,0.001739736104701867,0.0007476612560714869,0.00020778248039804366,0.0010838597213541654,0.001010020214204729,0.0005135168381742702
CNTD20,0.0005724060199982866,0.001476708913807689,0.000744812280999575,0.0010804930619532492,0.0007088536795825335,0.0009166547912682667,0.00032610488067142166
CNTP20,0.0006985397587411304,0.0011438146467633334,0.0008010352099130913,0.0009523409599275515,0.000700076164989524,0.0008591613480669261,0.00016982106989077455
CNTD30,0.0010105601431234438,0.0008253369931942204,0.0009177445858924031,0.000790226238136309,0.0006160839233101355,0.0008319903767313024,0.00013239717011490057
FFD_CLOSE_D20_MA20,0.001130614234530183,0.0007452889822165712,0.0007693502518889373,0.0007801812507195555,0.0007133905744285105,0.0008277650587567515,0.00015315218417129046
