combo_id,base_combo_id,uniqueness,turnover,avg_inter_event_time,regime_stability,oos_recall,oos_unreliable,low_info,net_pnl,sharpe,mdd,trade_count,selected_deep_combo_id,recall,cpr,coverage,lift,n_candidates,n_true_positives,n_events,base_rate,effective_recall,cusum_rate,effective_recall_rate_z,score,rank
rate=0.15_fast=5_slow=20,rate=0.15_fast=5_slow=20,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9131645569620253,0.05555555555555555,False,False,18661.76275,0.2552298768564033,-1104.3010000000031,254,rate=0.15_fast=5_slow=20_vb=10,0.07574206755373593,0.5736434108527132,0.125,1.0942698706099814,129,74,1032,0.5242248062015504,0.08288226246175909,0.15,1.0,0.7761904761904762,1
rate=0.15_fast=8_slow=20,rate=0.15_fast=8_slow=20,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9394936708860759,0.05226480836236934,False,False,13847.96025,0.21209674028614978,-1961.4542500000025,226,rate=0.15_fast=8_slow=20_vb=10,0.07479508196721311,0.5658914728682171,0.125,1.0794824399260627,129,73,1032,0.5242248062015504,0.08073997757643707,0.15,0.9473684210526316,0.692982456140351,2
rate=0.15_fast=5_slow=30,rate=0.15_fast=5_slow=30,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9305063291139241,0.04895104895104895,False,False,14932.542249999999,0.2382303439755052,-1202.5867500000022,210,rate=0.15_fast=5_slow=30_vb=10,0.07098765432098765,0.5348837209302325,0.125,1.020332717190388,129,69,1032,0.5242248062015504,0.07243102622030531,0.15,0.6052631578947368,0.574749373433584,3
rate=0.15_fast=10_slow=20,rate=0.15_fast=10_slow=20,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9368354430379747,0.05226480836236934,False,False,11451.29475,0.18047453799896668,-1727.5535000000018,218,rate=0.15_fast=10_slow=20_vb=10,0.07194244604316546,0.5426356589147286,0.125,1.0351201478743066,129,70,1032,0.5242248062015504,0.07446907538664076,0.15,0.7631578947368421,0.5696115288220551,4
rate=0.05_fast=5_slow=20,rate=0.05_fast=5_slow=20,0.8493429074651143,313.32264842053115,40.711931394481724,0.9745639534883721,0.020477815699658702,False,False,16313.053,0.35469229305869765,-1142.6212500000001,127,rate=0.05_fast=5_slow=20_vb=10,0.04012036108324975,0.5333333333333333,0.07267441860465117,1.0173752310536044,75,40,1032,0.5242248062015504,0.04081746162702525,0.05,0.5,0.5630952380952381,5
rate=0.15_fast=5_slow=50,rate=0.15_fast=5_slow=50,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9041772151898734,0.0456140350877193,False,False,11666.997749999999,0.2059903642400952,-2431.7422499999993,173,rate=0.15_fast=5_slow=50_vb=10,0.07194244604316546,0.5426356589147286,0.125,1.0351201478743066,129,70,1032,0.5242248062015504,0.07446907538664076,0.15,0.7631578947368421,0.5600877192982456,6
rate=0.15_fast=5_slow=60,rate=0.15_fast=5_slow=60,0.5201243971695146,1774.2724810565805,13.577233655674023,0.910506329113924,0.04895104895104895,False,False,9306.989249999999,0.16871171631426865,-2611.7332499999993,161,rate=0.15_fast=5_slow=60_vb=10,0.0728952772073922,0.5503875968992248,0.125,1.0499075785582255,129,71,1032,0.5242248062015504,0.07653330398114375,0.15,0.8947368421052632,0.5407268170426065,7
rate=0.1_fast=5_slow=20,rate=0.1_fast=5_slow=20,0.66105248917749,891.6473788024274,20.37848281850887,0.9596153846153846,0.03767123287671233,False,False,20618.87425,0.3179830460432379,-2140.327249999991,194,rate=0.1_fast=5_slow=20_vb=10,0.051829268292682924,0.5151515151515151,0.09593023255813954,0.9826919845404133,99,51,1032,0.5242248062015504,0.0509322065158141,0.1,0.5,0.5321428571428571,8
rate=0.15_fast=12_slow=20,rate=0.15_fast=12_slow=20,0.5201243971695146,1774.2724810565805,13.577233655674023,0.920506329113924,0.05226480836236934,False,False,10932.19925,0.17900457988870042,-2348.486000000001,206,rate=0.15_fast=12_slow=20_vb=10,0.07194244604316546,0.5426356589147286,0.125,1.0351201478743066,129,70,1032,0.5242248062015504,0.07446907538664076,0.15,0.7631578947368421,0.5267543859649122,9
rate=0.15_fast=8_slow=30,rate=0.15_fast=8_slow=30,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9141772151898734,0.05226480836236934,False,False,10654.79875,0.1770039875115554,-1857.2350000000024,198,rate=0.15_fast=8_slow=30_vb=10,0.07098765432098765,0.5348837209302325,0.125,1.020332717190388,129,69,1032,0.5242248062015504,0.07243102622030531,0.15,0.6052631578947368,0.45570175438596494,10
rate=0.15_fast=8_slow=40,rate=0.15_fast=8_slow=40,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9241772151898734,0.0456140350877193,False,False,10698.02975,0.18966170703393476,-1663.6947499999987,171,rate=0.15_fast=8_slow=40_vb=10,0.07003089598352215,0.5271317829457365,0.125,1.0055452865064696,129,68,1032,0.5242248062015504,0.07041923736605554,0.15,0.4473684210526315,0.42988721804511276,11
rate=0.15_fast=15_slow=40,rate=0.15_fast=15_slow=40,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9041772151898734,0.04895104895104895,False,False,4128.3857499999995,0.08073870232155522,-1813.7112499999998,169,rate=0.15_fast=15_slow=40_vb=10,0.07194244604316546,0.5426356589147286,0.125,1.0351201478743066,129,70,1032,0.5242248062015504,0.07446907538664076,0.15,0.7631578947368421,0.3767543859649123,12
rate=0.15_fast=10_slow=30,rate=0.15_fast=10_slow=30,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9405063291139241,0.0456140350877193,False,False,9214.198250000001,0.15863593035451964,-2287.432500000001,189,rate=0.15_fast=10_slow=30_vb=10,0.07003089598352215,0.5271317829457365,0.125,1.0055452865064696,129,68,1032,0.5242248062015504,0.07041923736605554,0.15,0.4473684210526315,0.325125313283208,13
rate=0.15_fast=5_slow=40,rate=0.15_fast=5_slow=40,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9178481012658228,0.0456140350877193,False,False,12607.905749999998,0.21142687342128308,-2060.500250000001,187,rate=0.15_fast=5_slow=40_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.31867167919799505,14
rate=0.15_fast=8_slow=50,rate=0.15_fast=8_slow=50,0.5201243971695146,1774.2724810565805,13.577233655674023,0.8915189873417722,0.0456140350877193,False,False,6264.1317500000005,0.12351312625625399,-1843.6857500000006,165,rate=0.15_fast=8_slow=50_vb=10,0.07003089598352215,0.5271317829457365,0.125,1.0055452865064696,129,68,1032,0.5242248062015504,0.07041923736605554,0.15,0.4473684210526315,0.30250626566416045,15
rate=0.15_fast=12_slow=50,rate=0.15_fast=12_slow=50,0.5201243971695146,1774.2724810565805,13.577233655674023,0.8915189873417722,0.0456140350877193,False,False,5078.691250000001,0.10784815198747655,-1573.699250000001,159,rate=0.15_fast=12_slow=50_vb=10,0.07003089598352215,0.5271317829457365,0.125,1.0055452865064696,129,68,1032,0.5242248062015504,0.07041923736605554,0.15,0.4473684210526315,0.256077694235589,16
rate=0.15_fast=15_slow=20,rate=0.15_fast=15_slow=20,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9178481012658228,0.04895104895104895,False,False,10103.71125,0.167653924134905,-2349.4604999999992,194,rate=0.15_fast=15_slow=20_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.2091478696741855,17
rate=0.15_fast=8_slow=60,rate=0.15_fast=8_slow=60,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9015189873417722,0.04225352112676056,False,False,6385.965249999999,0.12850855949858916,-1843.6857500000006,157,rate=0.15_fast=8_slow=60_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.18652882205513788,18
rate=0.15_fast=12_slow=30,rate=0.15_fast=12_slow=30,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9341772151898734,0.0456140350877193,False,False,8883.74525,0.14949208189324378,-2287.432499999998,187,rate=0.15_fast=12_slow=30_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.18295739348370932,19
rate=0.15_fast=10_slow=60,rate=0.15_fast=10_slow=60,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9015189873417722,0.04225352112676056,False,False,5414.150249999999,0.1120568841670098,-1566.5229999999992,155,rate=0.15_fast=10_slow=60_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.15200501253132837,20
rate=0.15_fast=12_slow=40,rate=0.15_fast=12_slow=40,0.5201243971695146,1774.2724810565805,13.577233655674023,0.8851898734177215,0.04225352112676056,False,False,6005.831249999999,0.1176696738640045,-2222.4612500000003,167,rate=0.15_fast=12_slow=40_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.14248120300751882,21
rate=0.15_fast=10_slow=50,rate=0.15_fast=10_slow=50,0.5201243971695146,1774.2724810565805,13.577233655674023,0.9015189873417722,0.0456140350877193,False,False,5624.3817500000005,0.11138695077781845,-1973.679250000001,165,rate=0.15_fast=10_slow=50_vb=10,0.06907216494845361,0.5193798449612403,0.125,0.9907578558225508,129,67,1032,0.5242248062015504,0.06843379004135146,0.15,0.1578947368421053,0.12581453634085216,22
